ra_1	dec_1	cz	ecz	u	g	r	i	zm	mur	mem	dist	gl	gb	foo	rf	gr	rp
195.50057	27.78273	007117	002	16.949	15.432	14.918	14.678	14.484		1	00.480	49.14105	87.56677				
194.82688	27.51352	006041	008	18.357	17.166	16.472	16.149	15.869		1	00.481	45.81226	88.21013				
195.13978	27.50414	005578	002	17.102	16.307	16.012	15.892	15.769		1	00.481	43.96444	87.93944				
194.46098	27.87949	006947	002	17.624	15.994	15.212	14.824	14.554		1	00.485	61.17243	88.39311				
194.64661	27.59639	007687	001	15.596	14.074	13.470	13.163	12.955		1	00.487	49.77475	88.34524				
195.05926	28.45807	007825	022	19.440	18.407	17.679	17.431	17.437		1	00.491	67.78805	87.64311				
194.83756	28.44148	006563	007	19.094	17.441	16.772	16.421	16.297		1	00.494	70.27463	87.81212				
194.45028	27.88306	005855	002	16.647	15.130	14.376	13.992	13.727		1	00.494	61.44224	88.39983				
195.12233	28.45567	007230	014	19.300	17.966	17.337	16.675	17.040		1	00.498	67.00411	87.59815				
194.43876	27.90598	008101	011	19.035	17.999	17.497	17.230	17.181		1	00.500	62.33735	88.39796				
195.43035	28.29780	007692	007	19.206	17.995	17.359	17.042	16.873		1	00.501	60.72280	87.44123				
194.52330	28.24260	007191	001	15.375	14.241	13.612	13.263	13.016		1	00.502	70.41801	88.15275				
194.59877	28.32893	008184	005	22.404	17.499	16.738	16.436	19.524		1	00.505	71.28421	88.04765				
195.52502	27.76512	007237	007	19.048	17.952	17.261	16.933	16.731		1	00.507	48.61218	87.55033				
194.44709	27.83331	006052	002	17.418	15.701	14.930	14.536	14.311		1	00.508	59.88845	88.42494				
195.04667	27.46009	006842	008	19.577	18.274	17.574	17.243	17.058		1	00.511	43.12083	88.02823				
195.55974	28.10161	005947	005	18.356	16.581	15.974	15.628	15.538		1	00.511	55.69097	87.41703				
194.77633	27.49364	008164	008	19.587	18.161	17.536	17.197	16.858		1	00.515	45.47892	88.25809				
194.51467	27.68246	007232	005	19.218	17.375	16.589	16.222	15.939		1	00.517	53.97589	88.42955				
194.45930	28.17036	006918	001	18.165	17.092	16.979	16.908	16.936		1	00.518	69.63055	88.24099				
194.44461	28.14079	006411	004	18.601	16.657	15.955	15.633	15.340		1	00.520	69.09003	88.26876				
194.63454	28.37798	005881	024	18.781	17.621	17.108	16.980	17.250		1	00.521	71.84716	87.99271				
194.66006	27.54410	005969	002	17.704	16.144	15.386	15.017	14.732		1	00.521	47.91766	88.34734				
194.46796	27.73965	006925	009	19.826	18.404	17.717	17.378	17.249		1	00.524	56.48512	88.44701				
195.44684	27.62180	007788	010	19.367	17.649	16.913	16.609	16.693		1	00.526	45.64824	87.65003				
194.44943	27.76946	005780	003	18.465	16.977	16.283	15.952	15.722		1	00.527	57.73630	88.45020				
194.45278	28.18043	007228	002	17.241	15.446	14.673	14.296	14.035		1	00.527	70.00577	88.23969				
