ra_1	dec_1	cz	ecz	zref	sigma	esigma	d4000	ra_2	dec_2	z	ez	u	g	r	i	zm	id1	id2	id3
228.061022	+06.338060	24178	4	SDSS	128	5	1.77	228.061020	6.338062	0.080653	0.000017	18.656	17.371	16.483	16.036	15.765	00	-1	-1
227.154068	+05.527978	22210	20	T13	39	16	1.22	227.154070	5.527982	0.074127	0.000006	18.060	17.282	16.998	16.779	16.731	00	-1	-1
227.245682	+05.502438	22734	29	T13	125	11	1.66	227.245680	5.502442	0.076111	0.000032	19.336	17.759	16.899	16.500	16.265	00	-1	-1
227.246252	+05.362035	23506	6	SDSS	134	9	1.64	227.246250	5.362040	0.078409	0.000022	19.224	17.846	16.910	16.422	16.088	00	-1	-1
228.131930	+05.315001	22695	4	SDSS	205	5	2.00	228.131940	5.315010	0.075703	0.000016	18.975	17.282	16.361	15.952	15.625	00	-1	-1
228.166497	+05.337134	24346	2	SDSS	104	9	1.25	228.166500	5.337142	0.081211	0.000008	17.638	16.547	16.023	15.710	15.596	00	-1	-1
227.132363	+05.845066	23168	4	SDSS	161	5	1.78	227.132350	5.845066	0.077286	0.000017	18.957	17.276	16.403	15.995	15.742	00	-1	-1
227.140714	+05.837849	23210	5	SDSS	120	6	1.87	227.140730	5.837855	0.077424	0.000020	20.129	18.345	17.460	17.067	16.774	00	-1	-1
227.144702	+05.963129	23178	8	SDSS	68	10	1.61	227.144710	5.963137	0.077314	0.000030	19.474	18.239	17.509	17.174	16.806	00	-1	-1
227.203256	+05.986406	23432	6	SDSS	159	7	1.92	227.203250	5.986408	0.078162	0.000021	20.389	18.303	17.433	17.020	16.762	00	-1	-1
227.438780	+06.220387	22885	17	T13	145	6	1.94	227.438780	6.220382	0.076332	0.000020	18.654	16.950	16.079	15.647	15.385	00	-1	-1
227.395365	+06.252541	22907	4	SDSS	213	5	2.03	227.395360	6.252547	0.076413	0.000015	18.640	16.894	16.031	15.635	15.376	00	-1	-1
227.691437	+06.366111	22220	4	SDSS	148	7	1.74	227.691440	6.366111	0.074120	0.000016	18.582	17.076	16.359	15.958	15.698	00	-1	-1
227.746724	+06.335763	24575	17	T13	153	5	2.05	227.746730	6.335773	0.082062	0.000018	19.393	17.423	16.487	16.086	15.764	00	-1	-1
227.765698	+06.315136	24453	21	T13	123	11	1.92	227.765700	6.315149	0.081704	0.000033	19.891	18.335	17.443	17.042	16.785	00	-1	-1
227.839160	+06.312505	24070	7	SDSS	122	8	1.84	227.839160	6.312513	0.080291	0.000025	20.321	18.402	17.574	17.200	16.921	00	-1	-1
227.860464	+06.349078	24281	4	SDSS	295	6	1.95	227.860500	6.349100	0.080993	0.000013	20.726	18.517	17.543	17.134	16.771	00	-1	-1
227.858342	+06.298950	24739	6	SDSS	219	8	2.01	227.858350	6.298958	0.082522	0.000023	19.996	18.237	17.328	16.908	16.568	00	-1	-1
227.895674	+06.332277	24699	5	SDSS	254	6	1.97	227.895680	6.332280	0.082390	0.000019	19.431	17.551	16.627	16.203	15.879	00	-1	-1
227.897096	+06.350551	24542	5	SDSS	210	7	1.93	227.897100	6.350552	0.081865	0.000019	19.684	17.958	17.046	16.655	16.313	00	-1	-1
227.923742	+06.344145	23903	28	T13	127	8	2.00	227.923750	6.344144	0.079845	0.000026	20.256	18.671	17.775	17.365	17.035	00	-1	-1
227.929487	+06.297943	23966	4	SDSS	220	6	1.88	227.929490	6.297947	0.079945	0.000017	18.717	17.076	16.232	15.835	15.555	00	-1	-1
228.038661	+06.310782	22442	4	SDSS	148	5	1.96	228.038670	6.310786	0.074861	0.000015	19.443	17.756	16.884	16.474	16.161	00	-1	-1
228.039642	+06.292108	24006	7	SDSS	206	8	2.01	228.039650	6.292113	0.080078	0.000025	20.344	18.261	17.349	16.934	16.643	00	-1	-1
228.084368	+06.298767	24364	5	SDSS	122	6	1.92	228.084370	6.298771	0.081270	0.000019	19.536	17.720	16.792	16.425	16.062	00	-1	-1
228.110483	+06.183466	23614	22	T13	82	6	1.78	228.110490	6.183470	0.078708	0.000019	19.795	18.273	17.480	17.113	16.871	00	-1	-1
228.186588	+06.179161	23343	22	T13	151	4	1.90	228.186590	6.179164	0.077908	0.000014	18.749	17.097	16.249	15.856	15.555	00	-1	-1
227.343160	+05.210804	22510	45	T13	84	9	1.48	227.343160	5.210803	0.075263	0.000024	18.748	17.519	16.895	16.630	16.356	00	-1	-1
227.919864	+05.096634	23715	3	SDSS	39	20	1.35	227.919870	5.096634	0.079107	0.000010	18.654	17.684	17.218	16.939	17.022	00	-1	-1
228.410844	+05.534261	24167	4	SDSS	95	5	1.75	228.410840	5.534257	0.080613	0.000016	19.352	17.944	17.195	16.839	16.546	00	-1	-1
227.174853	+06.138595	23870	6	SDSS	140	8	1.77	227.174840	6.138600	0.079625	0.000020	19.022	17.453	16.605	16.196	15.912	00	-1	-1
227.512119	+06.397709	24507	32	T13	38	19	1.42	227.512140	6.397687	0.081808	0.000017	19.461	18.034	17.429	17.111	16.832	00	-1	-1
227.874320	+06.439763	22637	2	SDSS	44	11	1.28	227.874330	6.439768	0.075511	0.000009	19.378	18.137	17.608	17.284	17.130	00	-1	-1
227.894685	+06.432682	24555	28	T13	160	13	1.89	227.894660	6.432693	0.082188	0.000036	20.281	18.488	17.635	17.237	16.962	00	-1	-1
227.905823	+06.461828	24245	10	SDSS	82	11	1.76	227.905830	6.461835	0.080874	0.000036	18.294	16.854	16.132	15.848	15.878	00	-1	-1
227.969322	+06.400838	24166	8	SDSS	96	8	1.81	227.969330	6.400864	0.080611	0.000027	20.220	18.433	17.552	17.148	16.876	00	-1	-1
228.146596	+06.371292	24231	20	T13	88	6	1.81	228.146600	6.371274	0.080824	0.000022	19.433	17.954	17.077	16.666	16.510	00	-1	-1
227.140057	+06.188493	23312	3	SDSS	280	5	1.99	227.140050	6.188504	0.077764	0.000013	17.078	15.159	14.244	13.831	13.565	00	-1	-1
227.155843	+06.188295	23058	5	SDSS	179	6	1.97	227.155830	6.188296	0.076915	0.000017	20.083	17.750	16.838	16.417	16.148	00	-1	-1
227.886130	+05.080009	23492	23	T13	38	14	1.16	227.886140	5.080020	0.078301	0.000008	19.329	18.060	17.556	17.196	17.000	00	-1	-1
227.102543	+05.534123	23530	5	SDSS	134	6	1.93	227.102550	5.534133	0.078490	0.000018	19.293	17.857	16.968	16.558	16.286	00	-1	-1
228.378935	+05.440181	22898	4	SDSS	254	5	1.91	228.378940	5.440183	0.076380	0.000015	18.463	16.626	15.679	15.252	14.974	00	-1	-1
