#ra_1	dec_1	cz	ecz	zsource	ra_2	dec_2	u	g	r	i	zm	mur	gr	r50	rp	rf
#----	-----	--	---	-------	----	-----	-	-	-	-	--	---	--	---	--	--
259.840421	26.457617	0.230297	0.000150471	MMT/Hectospec	259.840417	26.457618	22.052	20.618	19.451	19.002	18.776	021.650	01.216	01.024	19.604	20.093
259.840508	26.535479	0.161304	0.000137329	MMT/Hectospec	259.840515	26.535477	21.968	20.352	19.357	18.997	18.763	022.096	01.042	01.322	19.495	20.226
259.842425	26.413299	0.161635	0.000108775	MMT/Hectospec	259.842435	26.413301	22.424	20.462	19.461	19.077	18.829	022.097	01.051	01.244	19.628	20.302
259.846070	26.856667	0.161567	0.000266018	Keck/DEIMOS	259.846120	26.856901	23.112	21.582	20.506	20.122	19.843	022.605	01.132	00.949	20.724	21.266
259.848288	26.533894	0.105151	8.34245e-05	MMT/Hectospec	259.848283	26.533894	21.444	19.895	19.191	18.818	18.573	022.045	00.750	01.380	19.351	20.116
259.849979	26.870691	0.204781	5.61056e-05	MMT/Hectospec	259.849985	26.870692	20.875	20.129	19.428	19.104	18.897	022.058	00.758	01.224	19.624	20.357
259.850521	26.818567	0.312861	0.000117215	MMT/Hectospec	259.850530	26.818568	21.716	20.474	19.369	18.934	18.636	022.011	01.161	01.210	19.602	20.355
259.850921	26.574539	0.160042	0.000154707	MMT/Hectospec	259.850914	26.574539	21.114	19.669	18.661	18.273	18.015	021.725	01.055	01.498	18.852	19.727
259.851696	26.616036	0.636445	9.06629e-05	MMT/Hectospec	259.851693	26.616035	20.923	21.186	20.409	19.639	19.456	023.976	00.826	01.872	20.619	21.730
259.852150	26.536551	0.157603	6.2977e-05	MMT/Hectospec	259.852145	26.536551	21.085	20.361	19.827	19.605	19.512	022.380	00.580	01.136	20.108	20.630
259.853525	26.525045	0.314589	0.000138863	MMT/Hectospec	259.853515	26.525044	23.791	22.064	20.406	19.849	19.691	022.675	01.704	01.067	20.539	21.046
259.855700	26.489311	0.193733	7.98554e-05	MMT/Hectospec	259.855704	26.489310	20.445	19.771	19.255	18.982	18.896	021.812	00.563	01.197	19.427	20.053
259.856642	26.423431	0.162488	8.2157e-05	MMT/Hectospec	259.856656	26.423430	22.198	20.950	20.162	19.876	19.555	022.795	00.837	01.235	20.342	20.980
259.857558	26.636508	0.164491	5.88074e-05	MMT/Hectospec	259.857563	26.636509	21.803	20.614	19.635	19.203	18.832	022.539	01.028	01.405	19.806	20.614
259.859104	26.561903	0.153797	5.46379e-05	MMT/Hectospec	259.859110	26.561903	18.976	17.430	16.412	15.982	15.620	021.745	01.065	04.115	16.678	18.770
259.862737	26.785364	0.43052	6.97484e-05	MMT/Hectospec	259.862731	26.785364	22.895	21.790	20.549	20.050	19.769	022.570	01.295	00.939	20.712	21.310
259.864712	26.547628	0.315637	0.000184128	MMT/Hectospec	259.864719	26.547629	20.999	20.346	19.482	19.148	18.807	022.385	00.910	01.419	19.630	20.427
259.864913	26.804634	0.103395	0.000152839	MMT/Hectospec	259.864920	26.804634	21.531	20.263	19.618	19.238	19.035	021.263	00.699	00.790	19.780	20.243
259.866142	26.794384	0.315267	5.40041e-05	MMT/Hectospec	259.866155	26.794383	21.265	20.774	19.974	19.804	19.516	021.855	00.853	00.859	20.190	20.626
259.867088	26.742359	0.486909	0.000219352	MMT/Hectospec	259.867091	26.742357	22.300	21.332	20.120	19.658	19.310	022.195	01.263	00.973	20.259	20.878
259.867687	26.576783	0.314378	0.000178057	MMT/Hectospec	259.867694	26.576783	21.815	21.056	20.054	19.806	19.356	022.911	01.050	01.385	20.209	20.980
259.867800	26.783556	0.308594	7.89214e-05	MMT/Hectospec	259.867787	26.783555	20.834	19.922	18.927	18.551	18.159	021.722	01.048	01.267	19.213	20.025
259.868429	26.782055	0.309858	0.00013953	MMT/Hectospec	259.868432	26.782056	24.069	21.320	19.646	18.987	18.587	021.503	01.727	00.869	19.813	20.251
259.868975	26.404158	0.176062	0.000153873	MMT/Hectospec	259.868979	26.404159	20.357	19.053	18.196	17.695	17.397	021.811	00.907	01.927	18.392	19.547
259.869317	26.764963	0.17918	0.000123786	MMT/Hectospec	259.869326	26.764963	21.117	20.448	19.990	19.702	19.833	022.716	00.511	01.290	20.168	20.975
259.869604	26.755531	0.106357	5.5772e-05	MMT/Hectospec	259.869594	26.755530	21.747	20.024	19.004	18.484	18.525	022.198	01.071	01.614	19.163	19.893
259.869775	26.645736	0.424818	0.000181726	MMT/Hectospec	259.869765	26.645740	22.772	21.773	20.327	20.065	19.954	022.898	01.495	01.155	20.590	21.229
