RA	DEC	z	ez	zconf	ra	dec	u	g	r	i	zm	mur	gr	r50	rp	rf
3745.56844	46.4210092	0.448347	0.000101437	 9.61	249.704567	46.421011	21.826	21.124	19.950	19.460	19.438	022.591	01.193	01.280	20.060	20.816
3745.57613	46.4225006	0.371965	0.000124353	11.37	249.705080	46.422501	23.010	21.147	19.373	18.823	18.346	021.996	01.793	01.250	19.516	20.287
3745.59588	47.1011697	0.22643	0.00012442	13.75	249.706389	47.101173	20.928	19.036	17.664	17.152	16.760	021.738	01.398	02.444	17.802	19.189
3745.60062	47.1287803	0.226811	0.000100503	15.22	249.706722	47.128776	21.687	19.917	18.638	18.096	17.825	021.358	01.304	01.341	18.726	19.559
3745.60318	46.9392014	0.227592	0.000108809	15.07	249.706898	46.939204	22.256	19.686	18.355	17.792	17.415	021.494	01.355	01.601	18.477	19.472
3745.60619	46.4449883	0.373198	0.000139864	10.18	249.707078	46.444983	25.004	20.854	19.096	18.509	18.096	022.387	01.778	01.700	19.240	20.281
3745.62251	46.6544608	0.454527	0.000108142	10.95	249.708161	46.654458	22.165	21.193	19.931	19.370	19.038	022.542	01.284	01.266	20.035	20.811
3745.68087	46.69067	0.228777	8.95287e-05	12.76	249.712086	46.690675	22.553	20.719	19.324	18.870	18.564	021.141	01.418	00.886	19.409	19.905
3745.68775	46.8339881	0.222185	0.00012909	10.35	249.712515	46.833992	22.151	20.277	18.991	18.466	18.069	021.776	01.310	01.339	19.147	19.975
3745.75082	46.8040619	0.192232	0.00010037	15.19	249.716709	46.804058	21.327	19.749	18.574	18.064	17.731	021.212	01.198	01.287	18.669	19.425
3745.77056	46.5460014	0.47357	0.000217217	 6.22	249.718039	46.545992	24.172	21.427	19.858	19.007	18.496	022.778	01.589	01.435	19.999	20.890
3745.80319	46.6408692	0.227907	0.000164948	 7.21	249.720215	46.640868	23.664	21.152	19.908	19.562	19.300	022.123	01.266	01.032	20.060	20.637
3745.97825	46.5111314	0.140188	0.000105106	12.27	249.731894	46.511132	20.950	19.503	18.513	18.128	17.791	021.053	01.011	01.266	18.546	19.306
3745.98556	46.9712906	0.37459	0.000110677	 9.98	249.732366	46.971290	22.208	21.391	19.917	19.416	18.978	022.244	01.499	01.148	19.949	20.674
